artists,date,TM_id,event_title,presale_date_end,presale_date_start,promoter,TM_sale_date_start,span multiple days,venue,TM_venue _lat,venue_city,TM_venue_long,venue_state,TM_max,TM_min,genre,subGenre,event_type,SG_artists_score,SG_average_price,SG_listing_count,SG_max_price,SG_min_price,SG_venue_score,SH_max_price,SH_min_price,SH_total_postings,SH_total_tickets,spotify_followers,spotify_popularity,spotify_avg_followers,spotify_avg_popularity,spotify_null_count,days_until_show,day_of_week,presale_length,days_on_sale,artist_count,avg_resale_min,avg_resale_max,min_source,max_source,min_markup%,max_markup%,avg_ticket_listings
"['Xscape', 'Monica', 'Tamar Braxton', 'Zonnique', ""June's Diary""]",2017-12-16 01:30:00,vv178ZfwGkBo5xZ8,The Great Xscape Tour,2017-09-22 03:00:00,2017-09-20 15:00:00,AEG LIVE,2017-09-22 15:00:00,False,United Center,41.88124412,Chicago,-87.67427375,IL,125.0,45.0,Hip-Hop/Rap,Urban,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,1052.5,88.9,72.0,308.0,"[331305.0, 530471.0, 287857.0, 16753.0, 11417.0]","[61.0, 68.0, 65.0, 41.0, 32.0]",235560.6,53.4,0,9,5,1.5000000000000002,77.0,5.0,88.9,1052.5,SH,SH,97.55555555555557,742.0,308.0
"['103.5 Kiss FM Jingle Ball', 'iHeartRadio Jingle Ball', 'The Chainsmokers', 'Demi Lovato', 'Cheat Codes', 'Halsey', 'Charlie Puth', 'Kesha', 'Camila Cabello', 'Liam Payne', 'Julia Michaels', ""Why Don't We""]",2017-12-14 01:30:00,vv178ZfSGkB_X3uv,103.5 KISS FM's Jingle Ball Presented by Capital One,2017-10-15 03:00:00,2017-10-11 15:00:00,PROMOTED BY VENUE,2017-10-16 17:00:00,False,Allstate Arena,42.00499247,Rosemont,-87.88750024,IL,115.0,20.0,Rock,Pop,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,722.5,92.5,128.0,411.0,"[nan, nan, 4704274.0, 5573326.0, 364985.0, 2337416.0, 2473089.0, 2456776.0, 1363655.0, 671952.0, 285295.0, 366670.0]","[nan, nan, 90.0, 94.0, 88.0, 90.0, 91.0, 86.0, 94.0, 84.0, 87.0, 76.0]",2059743.8,88.0,2,7,3,3.5,56.0,12.0,92.5,722.5,SH,SH,362.5,528.2608695652174,411.0
"['Tchami', 'Malaa', 'Noizu']",2017-12-10 03:00:00,vv178ZfwGkD-tfr8,Tchami X Malaa,2017-09-22 03:00:00,2017-09-20 17:00:00,LIVE NATION MUSIC,2017-09-22 15:00:00,False,Aragon Ballroom,41.96941873,Chicago,-87.65797212,IL,34.5,29.5,Dance/Electronic,Club Dance,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,182.5,61.17,35.0,164.0,"[154954.0, 40602.0, 442.0]","[67.0, 60.0, 49.0]",65332.666666666664,58.666666666666664,0,3,6,1.4166666666666667,77.0,3.0,61.17,182.5,SH,SH,107.35593220338984,428.98550724637687,164.0
"['Erykah Badu', 'Common', 'Musiq Soulchild', 'De La Soul']",2017-12-10 01:30:00,vv11jZfg0PaMuP,The V Show,,,PROMOTED BY VENUE,2017-10-30 15:00:00,False,Wintrust Arena,41.853079,Chicago,-87.62201,IL,129.0,59.0,R&B,R&B,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,238.12,68.5,9.0,31.0,"[823288.0, 359325.0, 382435.0, 242755.0]","[72.0, 69.0, 67.0, 63.0]",451950.75,67.75,0,3,6,0.0,37.0,4.0,68.5,238.12,SH,SH,16.101694915254235,84.58914728682171,31.0
['Trans-Siberian Orchestra'],2017-12-29 02:00:00,vv178ZfYGkSJxKXN,Hallmark Channel Presents Trans-Siberian Orchestra 2017,2017-09-15 03:00:00,2017-09-14 15:00:00,LIVE NATION MUSIC,2017-09-15 15:00:00,False,Allstate Arena,42.00499247,Rosemont,-87.88750024,IL,87.5,47.5,World,World,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,337.3,80.5,197.0,970.0,[130224.0],[69.0],130224.0,69.0,0,22,4,0.5,83.0,1.0,80.5,337.3,SH,SH,69.47368421052632,285.4857142857143,970.0
"['Tiësto', 'Gryffin']",2017-12-24 03:00:00,vv167ZAGEv8ZA5kk7a,Tiësto,2017-09-15 04:59:00,2017-09-13 15:00:00,LIVE NATION MUSIC,2017-09-15 15:00:00,False,Aragon Ballroom,41.96941873,Chicago,-87.65797212,IL,55.0,40.0,Dance/Electronic,Club Dance,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,602.5,76.89,70.0,330.0,"[2437521.0, 76589.0]","[84.0, 77.0]",1257055.0,80.5,0,17,6,1.582638888888889,84.0,2.0,76.89,602.5,SH,SH,92.225,995.4545454545455,330.0
"['Lana Del Rey', 'Jhene Aiko']",2018-01-12 02:00:00,vv1A7ZAGUGkd4v0yS,Lana Del Rey,2017-10-02 03:00:00,2017-09-29 15:00:00,LIVE NATION MUSIC,2017-10-02 15:00:00,False,United Center,41.88124412,Chicago,-87.67427375,IL,125.0,39.5,Rock,Pop,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,6002.5,54.1,571.0,1920.0,"[5546284.0, 1263675.0]","[87.0, 85.0]",3404979.5,86.0,0,36,4,2.5,68.0,2.0,54.1,6002.5,SH,SH,36.9620253164557,4702.0,1920.0
['Shakira'],2018-01-24 01:30:00,vvG18ZflE5nx1j,Shakira - EL Dorado World Tour,2017-06-30 03:00:00,2017-06-27 17:00:00,LIVE NATION MUSIC,2017-06-30 15:00:00,False,United Center,41.88124412,Chicago,-87.67427375,IL,200.0,50.5,World,Latin,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,2402.5,107.96,219.0,847.0,[6593810.0],[90.0],6593810.0,90.0,0,48,2,2.4166666666666665,162.0,1.0,107.96,2402.5,SH,SH,113.78217821782177,1101.25,847.0
['The National'],2017-12-14 01:30:00,vvG1jZfnn15-7d,The National,2017-05-19 03:00:00,2017-05-15 15:00:00,PROMOTED BY VENUE,2017-05-19 15:00:00,False,Civic Opera House,41.8822429,Chicago,-87.637107,IL,57.5,33.0,Rock,Pop,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,725.25,116.5,75.0,140.0,[739963.0],[77.0],739963.0,77.0,0,7,3,3.5,205.0,1.0,116.5,725.25,SH,SH,253.03030303030303,1161.304347826087,140.0
"['Illenium', 'Minnesota', 'Said the Sky', 'Dabin']",2017-12-15 02:00:00,vvG18ZfmBqMSlG,Illenium,2017-07-21 03:00:00,2017-07-20 15:00:00,LIVE NATION MUSIC,2017-07-21 15:00:00,False,Aragon Ballroom,41.96941873,Chicago,-87.65797212,IL,25.0,25.0,Dance/Electronic,Club Dance,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,122.5,44.5,33.0,167.0,"[241167.0, 23772.0, 38479.0, 19158.0]","[80.0, 52.0, 67.0, 57.0]",80644.0,64.0,0,8,4,0.5,139.0,4.0,44.5,122.5,SH,SH,78.0,390.0,167.0
